densidad	temperatura	job	potencial_mean	potencial_2	cinetica_mean	cinetica_2	total_mean	total_2	presion_mean	presion_2
0.300	1.40	02	-1.7686235677788145	3.1319723106769723	2.0895724732752967	4.379913107882906	0.3209489054964823	0.11916262157249673	0.26265719795868575	0.0768016737748106
0.300	1.40	03	-1.7627280737267044	3.1115853041691452	2.0983699210598394	4.415661065224904	0.335641847333135	0.1292716158441821	0.2685862582136474	0.08001024923749096
0.300	1.40	05	-1.7568131344667357	3.0903422142325696	2.104476163850922	4.442212172808844	0.34766302938418625	0.1383905511403451	0.26552427896687913	0.07822303465971321
0.300	1.40	04	-1.763921072497614	3.1155188574513155	2.1033445333389333	4.4388960116293585	0.33942346084131936	0.13336997629217595	0.2661784420247791	0.07902723899215591
0.300	1.40	01	-1.7570918581064114	3.0915456423220595	2.1130210738247963	4.479682469627093	0.3559292157183846	0.14649855822155236	0.2680932904784889	0.0803437503273253
0.300	1.40	06	-1.7693496029393396	3.1348715935055216	2.085451752176108	4.364292477686491	0.3161021492367685	0.12081771175235055	0.2639972044072856	0.07742279553651293
0.300	0.86	02	-2.5824061668815	6.6846530373690225	1.2927610830159526	1.6774754130536635	-1.2896450838655475	1.6841896260713884	-0.011460074648674351	0.0065221121769246946
0.300	0.86	03	-2.603621425694753	6.795499315277114	1.2841470229959016	1.655201652274587	-1.3194744026988514	1.7635228924975996	-0.012106019726970682	0.007057229987159235
0.300	0.86	01	-2.6042768310526534	6.799784959570032	1.2910291286772657	1.672538761557015	-1.3132477023753877	1.7488474533643812	-0.004183309772450575	0.006170801645496745
0.300	0.93	02	-2.3014983323305125	5.311828505349024	1.396037300200449	1.955846675314676	-0.9054610321300638	0.8437525053489799	0.02272428311316121	0.006765163998606318
0.300	0.93	03	-2.3282675893324867	5.436119961075975	1.3883070146664775	1.9335315885986806	-0.9399605746660089	0.9040670839824853	0.017394478467013814	0.006512777324414821
0.300	0.93	01	-2.317312756192241	5.383692673266945	1.395446247390379	1.9538407659675494	-0.921866508801862	0.8694091040309052	0.025687840521685105	0.006504375692735218
